Sentence,Subject,Object,Related (Yes=1   No=0)
a vegan diet has documented clinical efficacy in rheumatoid arthritis.,vegan diet,clinical efficacy,1
a vegan diet has documented clinical efficacy in rheumatoid arthritis.,vegan diet,rheumatoid arthritis,1
a vegan diet has documented clinical efficacy in rheumatoid arthritis.,vegan diet,clinical efficacy in rheumatoid arthritis,1
"Acting on hepatocytes, glucagon promotes (and insulin inhibits) cAMP-dependent mechanisms that down-regulate lipogenic enzymes and cholesterol synthesis, while up-regulating hepatic LDL receptors and production of the IGF-I antagonist IGFBP-1.",glucagon,camp-dependent mechanisms,1
"Acting on hepatocytes, glucagon promotes (and insulin inhibits) cAMP-dependent mechanisms that down-regulate lipogenic enzymes and cholesterol synthesis, while up-regulating hepatic LDL receptors and production of the IGF-I antagonist IGFBP-1.",insulin,camp-dependent mechanisms,1
"Acting on hepatocytes, glucagon promotes (and insulin inhibits) cAMP-dependent mechanisms that down-regulate lipogenic enzymes and cholesterol synthesis, while up-regulating hepatic LDL receptors and production of the IGF-I antagonist IGFBP-1.",glucagon,hepatocytes,1
"Acting on hepatocytes, glucagon promotes (and insulin inhibits) cAMP-dependent mechanisms that down-regulate lipogenic enzymes and cholesterol synthesis, while up-regulating hepatic LDL receptors and production of the IGF-I antagonist IGFBP-1.",insulin,hepatocytes,1
"Acting on hepatocytes, glucagon promotes (and insulin inhibits) cAMP-dependent mechanisms that down-regulate lipogenic enzymes and cholesterol synthesis, while up-regulating hepatic LDL receptors and production of the IGF-I antagonist IGFBP-1.",camp-dependent mechanisms,lipogenic enzymes,1
"Acting on hepatocytes, glucagon promotes (and insulin inhibits) cAMP-dependent mechanisms that down-regulate lipogenic enzymes and cholesterol synthesis, while up-regulating hepatic LDL receptors and production of the IGF-I antagonist IGFBP-1.",camp-dependent mechanisms,cholesterol synthesis,1
"Acting on hepatocytes, glucagon promotes (and insulin inhibits) cAMP-dependent mechanisms that down-regulate lipogenic enzymes and cholesterol synthesis, while up-regulating hepatic LDL receptors and production of the IGF-I antagonist IGFBP-1.",camp-dependent mechanisms,hepatic ldl receptors,1
"Acting on hepatocytes, glucagon promotes (and insulin inhibits) cAMP-dependent mechanisms that down-regulate lipogenic enzymes and cholesterol synthesis, while up-regulating hepatic LDL receptors and production of the IGF-I antagonist IGFBP-1.",camp-dependent mechanisms,IGF-I antagonist,1
"Acting on hepatocytes, glucagon promotes (and insulin inhibits) cAMP-dependent mechanisms that down-regulate lipogenic enzymes and cholesterol synthesis, while up-regulating hepatic LDL receptors and production of the IGF-I antagonist IGFBP-1.",camp-dependent mechanisms,igfbp-1,1
"Additionally, the relatively low essential amino acid content of some vegan diets may decrease hepatic IGF-I synthesis.",essential amino acid,vegan diets,1
"Additionally, the relatively low essential amino acid content of some vegan diets may decrease hepatic IGF-I synthesis.",low essential amino acid content,hepatic IGF-I synthesis,1
Amino acids modulate the secretion of both insulin and glucagon.,amino acids,secretion of insulin,1
Amino acids modulate the secretion of both insulin and glucagon.,amino acids,glucagon,1
An unnecessarily high intake of essential amino acids--either in the absolute sense or relative to total dietary protein--may prove to be as grave a risk factor for 'Western' degenerative diseases as is excessive fat intake.,essential amino acids,dietary protein,1
