Sentence,Subject,Object,Relation in Sentence,RO- Manual- Relation
"multiple factors potentially contribute to the progression of cancer in obesity and type 2 diabetes, including hyperinsulinemia and insulin-like growth factor i, hyperglycemia, dyslipidemia, adipokines and cytokines, and the gut microbiome.",hyperinsulinemia,progression of cancer in obesity and type 2 diabetes,potentially contribute to the,contributes to
"multiple factors potentially contribute to the progression of cancer in obesity and type 2 diabetes, including hyperinsulinemia and insulin-like growth factor i, hyperglycemia, dyslipidemia, adipokines and cytokines, and the gut microbiome.",insulin-like growth factor i,progression of cancer in obesity and type 2 diabetes,potentially contribute to the,contributes to
"multiple factors potentially contribute to the progression of cancer in obesity and type 2 diabetes, including hyperinsulinemia and insulin-like growth factor i, hyperglycemia, dyslipidemia, adipokines and cytokines, and the gut microbiome.",hyperglycemia,progression of cancer in obesity and type 2 diabetes,potentially contribute to the,contributes to
"multiple factors potentially contribute to the progression of cancer in obesity and type 2 diabetes, including hyperinsulinemia and insulin-like growth factor i, hyperglycemia, dyslipidemia, adipokines and cytokines, and the gut microbiome.",dyslipidemia,progression of cancer in obesity and type 2 diabetes,potentially contribute to the,contributes to
"multiple factors potentially contribute to the progression of cancer in obesity and type 2 diabetes, including hyperinsulinemia and insulin-like growth factor i, hyperglycemia, dyslipidemia, adipokines and cytokines, and the gut microbiome.",adipokines,progression of cancer in obesity and type 2 diabetes,potentially contribute to the,contributes to
"multiple factors potentially contribute to the progression of cancer in obesity and type 2 diabetes, including hyperinsulinemia and insulin-like growth factor i, hyperglycemia, dyslipidemia, adipokines and cytokines, and the gut microbiome.",cytokines,progression of cancer in obesity and type 2 diabetes,potentially contribute to the,contributes to
"multiple factors potentially contribute to the progression of cancer in obesity and type 2 diabetes, including hyperinsulinemia and insulin-like growth factor i, hyperglycemia, dyslipidemia, adipokines and cytokines, and the gut microbiome.",hyperinsulinemia,progression of cancer in obesity and type 2 diabetes,potentially contribute to the,contributes to
"multiple factors potentially contribute to the progression of cancer in obesity and type 2 diabetes, including hyperinsulinemia and insulin-like growth factor i, hyperglycemia, dyslipidemia, adipokines and cytokines, and the gut microbiome.",insulin-like growth factor i,progression of cancer in obesity and type 2 diabetes,potentially contribute to the,contributes to
"multiple factors potentially contribute to the progression of cancer in obesity and type 2 diabetes, including hyperinsulinemia and insulin-like growth factor i, hyperglycemia, dyslipidemia, adipokines and cytokines, and the gut microbiome.",hyperglycemia,progression of cancer in obesity and type 2 diabetes,potentially contribute to the,contributes to
"multiple factors potentially contribute to the progression of cancer in obesity and type 2 diabetes, including hyperinsulinemia and insulin-like growth factor i, hyperglycemia, dyslipidemia, adipokines and cytokines, and the gut microbiome.",dyslipidemia,progression of cancer in obesity and type 2 diabetes,potentially contribute to the,contributes to
